"";"player_id";"fantasy_pts";"year"
"444";"11804";"0";"2018"
"445";"11347";"14.8";"2018"
"446";"11300";"10.4";"2018"
"447";"11286";"4.8";"2018"
"448";"11104";"0";"2018"
"449";"11090";"0.8";"2018"
"450";"10832";"1";"2018"
"451";"10831";"0.7";"2018"
"452";"10810";"11.7";"2018"
"453";"10777";"8.5";"2018"
"454";"10706";"0";"2018"
"455";"10269";"5.5";"2018"
"456";"9601";"1.1";"2018"
"457";"9302";"4.8";"2018"
"458";"8420";"18.1";"2018"
"459";"8283";"2.1";"2018"
"460";"7997";"7.1";"2018"
"461";"7912";"52.5";"2018"
"462";"7572";"2.3";"2018"
"463";"7377";"3";"2018"
"464";"7024";"0";"2018"
"465";"6997";"8.6";"2018"
"466";"6515";"2.2";"2018"
"467";"6288";"16.9";"2018"
"468";"6142";"36.2";"2018"
"469";"5605";"0";"2018"
"470";"51837";"36.7";"2018"
"471";"47294";"23.5";"2018"
"472";"47268";"0";"2018"
"473";"47206";"4.7";"2018"
"474";"30762";"31.6";"2018"
"475";"12320";"28.8";"2018"
"476";"12206";"0";"2018"
"477";"12078";"26.2";"2018"
"478";"12007";"0";"2018"
"479";"11929";"7.3";"2018"
"480";"11784";"108.2";"2018"
"481";"11341";"0";"2018"
"482";"11335";"5.7";"2018"
"483";"11326";"0";"2018"
"484";"11148";"9.1";"2018"
"485";"11051";"9.2";"2018"
"486";"10851";"6";"2018"
"487";"10822";"6.1";"2018"
"488";"10772";"15.9";"2018"
"489";"10728";"55.7";"2018"
"490";"10715";"116.3";"2018"
"491";"9980";"0";"2018"
"492";"9884";"9.2";"2018"
"493";"9653";"7.7";"2018"
"494";"9606";"29.4";"2018"
"495";"9593";"69.3";"2018"
"496";"9590";"82.3";"2018"
"497";"9550";"10.2";"2018"
"498";"9400";"0";"2018"
"499";"9303";"30.7";"2018"
"500";"9185";"113.3";"2018"
"501";"8954";"16.7";"2018"
"502";"8733";"1.2";"2018"
"503";"8673";"20.5";"2018"
"504";"8645";"176.2";"2018"
"505";"7915";"30.5";"2018"
"506";"7866";"93.8";"2018"
"507";"7802";"31.4";"2018"
"508";"7116";"3.8";"2018"
"509";"7066";"4.2";"2018"
"510";"6199";"32.5";"2018"
"511";"5567";"105.3";"2018"
"512";"5546";"12.9";"2018"
"513";"5132";"1.4";"2018"
"514";"2951";"61.2";"2018"
"515";"51842";"26";"2018"
"516";"47436";"82.8";"2018"
"517";"47304";"15.4";"2018"
"518";"47298";"0";"2018"
"519";"47272";"69.7";"2018"
"520";"47257";"5.1";"2018"
"521";"47243";"0";"2018"
"522";"47164";"91.4";"2018"
"523";"47153";"27.9";"2018"
"524";"47124";"10.2";"2018"
"525";"47050";"31";"2018"
"526";"42130";"48.7";"2018"
"527";"42062";"54.4";"2018"
"528";"29556";"0";"2018"
"529";"24606";"8.3";"2018"
"530";"20994";"1.3";"2018"
"531";"12267";"2.8";"2018"
"532";"12193";"14.5";"2018"
"533";"12145";"42.7";"2018"
"534";"12122";"0";"2018"
"535";"12051";"7.2";"2018"
"536";"12037";"2.9";"2018"
"537";"12020";"57.3";"2018"
"538";"11909";"12.6";"2018"
"539";"11905";"23.2";"2018"
"540";"11901";"187.3";"2018"
"541";"11900";"12.5";"2018"
"542";"11882";"32.5";"2018"
"543";"11855";"52.8";"2018"
"544";"11800";"13.3";"2018"
"545";"11799";"68.1";"2018"
"546";"11778";"85.2";"2018"
"547";"11774";"103.5";"2018"
"548";"11139";"0";"2018"
"549";"10960";"2.1";"2018"
"550";"10931";"1.9";"2018"
"551";"10811";"0";"2018"
"552";"10744";"48.1";"2018"
"553";"10211";"12.2";"2018"
"554";"10144";"0";"2018"
"555";"10135";"5.8";"2018"
"556";"10018";"1";"2018"
"557";"9840";"37.2";"2018"
"558";"9786";"11.2";"2018"
"559";"9679";"43.2";"2018"
"560";"9662";"0";"2018"
"561";"9637";"8.8";"2018"
"562";"9635";"12.3";"2018"
"563";"9627";"18.6";"2018"
"564";"9604";"32.8";"2018"
"565";"9576";"17.1";"2018"
"566";"9525";"55.6";"2018"
"567";"9518";"5.6";"2018"
"568";"9488";"29.1";"2018"
"569";"9207";"74";"2018"
"570";"9107";"0";"2018"
"571";"9092";"8.5";"2018"
"572";"8755";"13.7";"2018"
"573";"8679";"0";"2018"
"574";"8549";"34.4";"2018"
"575";"8524";"40.4";"2018"
"576";"8520";"48.5";"2018"
"577";"8200";"32.5";"2018"
"578";"7982";"41.2";"2018"
"579";"7940";"15.2";"2018"
"580";"7888";"1.9";"2018"
"581";"7844";"234.4";"2018"
"582";"7836";"102.6";"2018"
"583";"7816";"218.3";"2018"
"584";"7406";"16.2";"2018"
"585";"7274";"23.5";"2018"
"586";"7128";"45.7";"2018"
"587";"6356";"36.5";"2018"
"588";"6326";"27.9";"2018"
"589";"6311";"30.3";"2018"
"590";"6307";"14.5";"2018"
"591";"6256";"27.3";"2018"
"592";"6195";"115.5";"2018"
"593";"5795";"17.2";"2018"
"594";"5619";"99.5";"2018"
"595";"5595";"38.3";"2018"
"596";"5173";"0";"2018"
"597";"5012";"155.3";"2018"
"598";"3647";"66.6";"2018"
"599";"3120";"7.2";"2018"
"600";"2973";"5.4";"2018"
"601";"1753";"65.6";"2018"
"602";"1609";"58.3";"2018"
"603";"698";"244.8";"2019"
"604";"802";"202.7";"2019"
"605";"1085";"0.8";"2019"
"606";"1722";"52.4";"2019"
"607";"1725";"215.8";"2019"
"608";"1732";"11.7";"2019"
"609";"1811";"31.9";"2019"
"610";"2241";"257.1";"2019"
"611";"2467";"206.2";"2019"
"612";"4018";"40.3";"2019"
"613";"4317";"250.8";"2019"
"614";"4332";"80.9";"2019"
"615";"4924";"167.6";"2019"
"616";"5214";"26";"2019"
"617";"5277";"21.1";"2019"
"618";"5609";"2.2";"2019"
"619";"6153";"18.1";"2019"
"620";"6187";"183.3";"2019"
"621";"6332";"5.8";"2019"
"622";"7008";"9.2";"2019"
"623";"7014";"204.3";"2019"
"624";"7077";"303.4";"2019"
"625";"7089";"37.7";"2019"
"626";"7102";"238.5";"2019"
"627";"7323";"93.2";"2019"
"628";"7610";"0";"2019"
"629";"7854";"3.2";"2019"
"630";"7880";"2.1";"2019"
"631";"7983";"0.6";"2019"
"632";"8638";"-0.8";"2019"
"633";"8667";"89.2";"2019"
"634";"8671";"224.8";"2019"
"635";"8697";"231.5";"2019"
"636";"8799";"0";"2019"
"637";"8818";"0";"2019"
"638";"8848";"-0.3";"2019"
"639";"9434";"283.8";"2019"
"640";"9435";"81.1";"2019"
"641";"9522";"-0.5";"2019"
"642";"9580";"5.5";"2019"
"643";"9683";"0.1";"2019"
"644";"10635";"222.4";"2019"
"645";"10636";"253.8";"2019"
"646";"10725";"211.3";"2019"
"647";"10769";"303.1";"2019"
"648";"10835";"32.5";"2019"
"649";"10841";"55.5";"2019"
"650";"11757";"194";"2019"
"651";"11765";"274";"2019"
"652";"11767";"306.4";"2019"
"653";"12112";"23.4";"2019"
"654";"12282";"-0.3";"2019"
"655";"12324";"0";"2019"
"656";"13725";"-1.6";"2019"
"657";"21956";"-0.1";"2019"
"658";"26152";"168.2";"2019"
"659";"29048";"168.4";"2019"
"660";"29838";"44.6";"2019"
"661";"35460";"17";"2019"
"662";"38265";"4.7";"2019"
"663";"38334";"262.9";"2019"
"664";"39395";"201";"2019"
"665";"39517";"55";"2019"
"666";"41401";"202.7";"2019"
"667";"41897";"72.7";"2019"
"668";"46416";"410.7";"2019"
"669";"46426";"25.7";"2019"
"670";"46508";"41.5";"2019"
"671";"46518";"207.1";"2019"
"672";"46569";"103.9";"2019"
"673";"46586";"8.6";"2019"
"674";"46601";"276.4";"2019"
"675";"91479";"2.7";"2019"
"676";"91472";"5.3";"2019"
"677";"66957";"35.1";"2019"
"678";"66438";"2";"2019"
"679";"63664";"0";"2019"
"680";"61568";"120.9";"2019"
"681";"51593";"52.5";"2019"
"682";"48331";"0";"2019"
"683";"48327";"169.7";"2019"
"684";"48274";"137.6";"2019"
"685";"48267";"187";"2019"
"686";"48262";"163.5";"2019"
"687";"48229";"162.9";"2019"
"688";"48209";"44.3";"2019"
"689";"48182";"18.6";"2019"
"690";"48164";"176.7";"2019"
"691";"48135";"70.4";"2019"
"692";"48101";"12.9";"2019"
"693";"48055";"1.7";"2019"
"694";"48023";"0";"2019"
"695";"47959";"8";"2019"
"696";"47933";"3";"2019"
"697";"47908";"2";"2019"
"698";"47864";"142";"2019"
"699";"47809";"68.2";"2019"
"700";"47481";"34.1";"2019"
"701";"47448";"30.9";"2019"
"702";"44920";"15.8";"2019"
"703";"42683";"101";"2019"
"704";"42345";"29";"2019"
"705";"39587";"34.5";"2019"
"706";"38855";"74.8";"2019"
"707";"38275";"0";"2019"
"708";"35014";"27.9";"2019"
"709";"29622";"11.4";"2019"
"710";"28621";"4.4";"2019"
"711";"26075";"149.4";"2019"
"712";"23172";"3.1";"2019"
"713";"21528";"8";"2019"
"714";"13597";"16.9";"2019"
"715";"12087";"27.9";"2019"
"716";"12077";"0";"2019"
"717";"12014";"0.9";"2019"
"718";"11981";"48.1";"2019"
"719";"11873";"17.5";"2019"
"720";"11872";"51.4";"2019"
"721";"11764";"77";"2019"
"722";"11762";"132";"2019"
"723";"11440";"36.3";"2019"
"724";"11074";"44.1";"2019"
"725";"10840";"2.4";"2019"
"726";"10833";"4.3";"2019"
"727";"10797";"27.4";"2019"
"728";"10681";"293.4";"2019"
"729";"10674";"104.9";"2019"
