"";"player_id";"fantasy_pts";"year";"sleeper_id"
"278";"7859";"74.9";"2018";"1346"
"279";"7822";"219.1";"2018";"1352"
"280";"7815";"3.6";"2018";"1418"
"281";"7789";"34";"2018";"1567"
"282";"7513";"24.6";"2018";"1061"
"283";"7158";"98.3";"2018";"1067"
"284";"7019";"18.5";"2018";"1219"
"285";"6671";"8.3";"2018";"794"
"286";"6597";"46.2";"2018";"2291"
"287";"6468";"79.3";"2018";"1329"
"288";"6328";"7.2";"2018";"902"
"289";"6158";"247.1";"2018";"947"
"290";"6156";"126.4";"2018";"830"
"291";"5612";"16.6";"2018";"627"
"292";"5606";"156.6";"2018";"538"
"293";"5547";"127.2";"2018";"560"
"294";"5156";"150.9";"2018";"344"
"295";"4930";"0.7";"2018";"394"
"296";"4519";"46.6";"2018";"269"
"297";"4467";"0";"2018";"312"
"298";"4363";"130.8";"2018";"147"
"299";"3064";"25.1";"2018";"648"
"300";"66446";"38.6";"2018";"5123"
"301";"48103";"123.9";"2018";"5347"
"302";"47297";"68.8";"2018";"5107"
"303";"46027";"79.2";"2018";"5248"
"304";"45996";"10";"2018";"4997"
"305";"45993";"4.9";"2018";"5395"
"306";"45932";"83.2";"2018";"5004"
"307";"45851";"49.3";"2018";"5000"
"308";"45791";"316.1";"2018";"4866"
"309";"45783";"181.5";"2018";"4988"
"310";"45747";"81";"2018";"5046"
"311";"45741";"29.9";"2018";"4994"
"312";"45695";"7.8";"2018";"5266"
"313";"45691";"15";"2018";"5536"
"314";"45675";"19.4";"2018";"4349"
"315";"45662";"67.6";"2018";"5136"
"316";"39541";"0";"2018";"5619"
"317";"34761";"5.8";"2018";"5076"
"318";"34455";"124.4";"2018";"5068"
"319";"34001";"17.2";"2018";"5052"
"320";"31615";"5.8";"2018";"5209"
"321";"29539";"52.6";"2018";"5131"
"322";"29413";"38.5";"2018";"5284"
"323";"27875";"6.1";"2018";"5274"
"324";"27589";"131.6";"2018";"4962"
"325";"27414";"65.3";"2018";"4985"
"326";"26618";"51.3";"2018";"5100"
"327";"25681";"3.1";"2018";"5464"
"328";"23614";"11.5";"2018";"5624"
"329";"13014";"11.5";"2018";"5549"
"330";"12660";"205.3";"2018";"5170"
"331";"12271";"150";"2018";"4455"
"332";"12253";"66.1";"2018";"4651"
"333";"12202";"1.9";"2018";"4635"
"334";"12164";"138.5";"2018";"4663"
"335";"12006";"0";"2018";"4232"
"336";"12004";"173";"2018";"4273"
"337";"11958";"0";"2018";"4239"
"338";"11943";"71.9";"2018";"4263"
"339";"11937";"159.4";"2018";"4199"
"340";"11935";"7.4";"2018";"4186"
"341";"11917";"0.4";"2018";"4219"
"342";"11911";"11.7";"2018";"4187"
"343";"11898";"149.3";"2018";"4152"
"344";"11895";"28";"2018";"4150"
"345";"11889";"95.4";"2018";"4149"
"346";"11874";"187.2";"2018";"4157"
"347";"11869";"4.5";"2018";"4147"
"348";"11860";"237.6";"2018";"4137"
"349";"11844";"8.7";"2018";"4111"
"350";"11841";"217.2";"2018";"4098"
"351";"11822";"307.7";"2018";"4035"
"352";"11803";"211";"2018";"4018"
"353";"11797";"0";"2018";"4091"
"354";"11796";"126";"2018";"4029"
"355";"11763";"320.7";"2018";"4034"
"356";"11759";"109.4";"2018";"3969"
"357";"11395";"121.8";"2018";"3868"
"358";"11076";"5.9";"2018";"3491"
"359";"11057";"1.5";"2018";"3573"
"360";"11047";"0.8";"2018";"3664"
"361";"10927";"134";"2018";"3594"
"362";"10870";"4.6";"2018";"3391"
"363";"10805";"104.1";"2018";"3327"
"364";"10790";"0.6";"2018";"3312"
"365";"10787";"91.7";"2018";"3309"
"366";"10784";"146.1";"2018";"3306"
"367";"10770";"63.9";"2018";"3209"
"368";"10768";"39";"2018";"3208"
"369";"10753";"5";"2018";"3280"
"370";"10724";"3.4";"2018";"3204"
"371";"10707";"168.7";"2018";"3242"
"372";"10679";"183.2";"2018";"3198"
"373";"10638";"286.6";"2018";"3164"
"374";"9996";"17.3";"2018";"2892"
"375";"9902";"34.9";"2018";"2588"
"376";"9827";"15.2";"2018";"2729"
"377";"9783";"36.6";"2018";"2749"
"378";"9761";"34.8";"2018";"2560"
"379";"9663";"33.1";"2018";"2529"
"380";"9607";"3.1";"2018";"2477"
"381";"9582";"39.9";"2018";"2452"
"382";"9578";"0";"2018";"2448"
"383";"9559";"107.2";"2018";"2431"
"384";"9558";"77.1";"2018";"2430"
"385";"9527";"57.1";"2018";"2399"
"386";"9519";"212.3";"2018";"2391"
"387";"9510";"100.6";"2018";"2382"
"388";"9506";"163.7";"2018";"2378"
"389";"9487";"4.4";"2018";"2359"
"390";"9469";"146.6";"2018";"2341"
"391";"9448";"237.4";"2018";"2320"
"392";"9443";"337.6";"2018";"2315"
"393";"9295";"130.2";"2018";"1901"
"394";"9205";"75.7";"2018";"1833"
"395";"9184";"1.6";"2018";"1794"
"396";"9047";"10.8";"2018";"2024"
"397";"8906";"49.8";"2018";"2001"
"398";"8816";"83.9";"2018";"1944"
"399";"8765";"218.2";"2018";"1848"
"400";"8738";"11.6";"2018";"2168"
"401";"8692";"90.5";"2018";"2257"
"402";"8690";"3.6";"2018";"1892"
"403";"8101";"42";"2018";"1451"
"404";"7980";"83.6";"2018";"1517"
"405";"7975";"69";"2018";"1601"
"406";"7971";"33";"2018";"1387"
"407";"7963";"7.9";"2018";"1546"
"408";"7962";"117.1";"2018";"1476"
"409";"7946";"4.7";"2018";"1353"
"410";"7936";"65.2";"2018";"1502"
"411";"7843";"0.9";"2018";"1596"
"412";"7818";"75.9";"2018";"1386"
"413";"7641";"0";"2018";"1213"
"414";"7469";"27.5";"2018";"1034"
"415";"7165";"46.1";"2018";"1170"
"416";"7106";"0.8";"2018";"1232"
"417";"7097";"148.5";"2018";"1048"
"418";"7090";"6.1";"2018";"1186"
"419";"7035";"104.3";"2018";"1195"
"420";"6301";"128.4";"2018";"788"
"421";"6297";"64";"2018";"949"
"422";"6278";"54.8";"2018";"818"
"423";"6277";"0";"2018";"886"
"424";"6225";"15.3";"2018";"811"
"425";"6180";"125.7";"2018";"956"
"426";"6007";"60.9";"2018";"717"
"427";"5863";"80";"2018";"730"
"428";"4976";"98.8";"2018";"676"
"429";"4387";"2.4";"2018";"323"
"430";"4327";"1.7";"2018";"218"
"431";"3628";"71.5";"2018";"745"
"432";"3623";"180";"2018";"184"
"433";"2347";"48.9";"2018";"246"
"434";"2282";"95.6";"2018";"232"
"435";"48862";"0";"2018";"4353"
"436";"48457";"0";"2018";"5015"
"437";"47053";"2.6";"2018";"4350"
"438";"45732";"3.4";"2018";"5115"
"439";"28451";"0";"2018";"5302"
"440";"12888";"0";"2018";"5271"
"441";"12329";"0";"2018";"4718"
"442";"12238";"0";"2018";"4646"
"443";"11948";"13.4";"2018";"4226"
"444";"11804";"0";"2018";"4097"
"445";"11347";"14.8";"2018";"3832"
"446";"11300";"10.4";"2018";"3803"
"447";"11286";"4.8";"2018";"3564"
"448";"11104";"0";"2018";"3688"
"449";"11090";"0.8";"2018";"3657"
"450";"10832";"1";"2018";"3354"
"451";"10831";"0.7";"2018";"3353"
"452";"10810";"11.7";"2018";"3332"
"453";"10777";"8.5";"2018";"3300"
"454";"10706";"0";"2018";"3241"
"455";"10269";"5.5";"2018";"2174"
"456";"9601";"1.1";"2018";"2471"
"457";"9302";"4.8";"2018";"2073"
"458";"8420";"18.1";"2018";"1693"
