"";"player_id";"fantasy_pts";"year";"sleeper_id";"position"
"272";"9592";"8.2";"2019";"2462";"WR"
"273";"9470";"21.1";"2019";"2342";"WR"
"274";"9462";"54.1";"2019";"2334";"WR"
"275";"9437";"177.9";"2019";"2309";"WR"
"276";"9002";"55.6";"2019";"1903";"WR"
"277";"8931";"61.2";"2019";"1984";"WR"
"278";"8914";"22.6";"2019";"2003";"WR"
"279";"8843";"-3.3";"2019";"1854";"WR"
"280";"8824";"9.1";"2019";"2121";"WR"
"281";"8777";"-4.2";"2019";"2093";"WR"
"282";"8726";"158.4";"2019";"2238";"WR"
"283";"8680";"29.5";"2019";"2279";"WR"
"284";"8677";"-4.4";"2019";"1800";"TE"
"285";"8674";"1.8";"2019";"1987";"WR"
"286";"8647";"114.8";"2019";"2078";"WR"
"287";"8288";"78.8";"2019";"1689";"WR"
"288";"8254";"-1.5";"2019";"1333";"WR"
"289";"7926";"95.2";"2019";"1555";"WR"
"290";"7859";"28.7";"2019";"1346";"WR"
"291";"7822";"159.1";"2019";"1352";"WR"
"292";"7810";"17.4";"2019";"1535";"RB"
"293";"7789";"34.6";"2019";"1567";"WR"
"294";"7618";"59.4";"2019";"1244";"WR"
"295";"7158";"131.8";"2019";"1067";"WR"
"296";"7100";"-7";"2019";"1077";"WR"
"297";"7092";"62.8";"2019";"1110";"WR"
"298";"7084";"53.7";"2019";"1071";"WR"
"299";"6328";"0.9";"2019";"902";"WR"
"300";"5718";"9.7";"2019";"536";"WR"
"301";"5606";"128.3";"2019";"538";"WR"
"302";"5547";"53.6";"2019";"560";"WR"
"303";"4933";"1.4";"2019";"455";"WR"
"304";"4363";"34.3";"2019";"147";"WR"
"305";"3625";"55.8";"2019";"695";"WR"
"306";"83791";"14.1";"2019";"6178";"RB"
"307";"66446";"0";"2019";"5123";"RB"
"308";"48103";"45.6";"2019";"5347";"RB"
"309";"47542";"18.2";"2019";"5162";"RB"
"310";"47297";"36.8";"2019";"5107";"RB"
"311";"46027";"73.8";"2019";"5248";"RB"
"312";"45996";"20";"2019";"4997";"RB"
"313";"45954";"28.1";"2019";"6156";"RB"
"314";"45953";"154.2";"2019";"5850";"RB"
"315";"45934";"15.1";"2019";"6002";"RB"
"316";"45932";"23.1";"2019";"5004";"RB"
"317";"45914";"16.3";"2019";"5980";"RB"
"318";"45913";"-1.1";"2019";"6153";"RB"
"319";"45903";"0";"2019";"6068";"RB"
"320";"45865";"20.7";"2019";"5995";"RB"
"321";"45859";"7.6";"2019";"6012";"RB"
"322";"45851";"59.3";"2019";"5000";"RB"
"323";"45826";"0.9";"2019";"6446";"RB"
"324";"45817";"56.8";"2019";"5987";"RB"
"325";"45810";"17.4";"2019";"6007";"RB"
"326";"45791";"152.3";"2019";"4866";"RB"
"327";"45783";"210";"2019";"4988";"RB"
"328";"45769";"16.4";"2019";"6039";"RB"
"329";"45764";"-2.6";"2019";"6585";"RB"
"330";"45747";"74.6";"2019";"5046";"RB"
"331";"45741";"2.6";"2019";"4994";"RB"
"332";"45734";"12.4";"2019";"6694";"RB"
"333";"45731";"30.5";"2019";"5112";"RB"
"334";"45719";"86.2";"2019";"5892";"RB"
"335";"45691";"21.7";"2019";"5536";"RB"
"336";"45664";"50.3";"2019";"4949";"RB"
"337";"45662";"-1.6";"2019";"5136";"RB"
"338";"44889";"6.9";"2019";"6379";"FB"
"339";"41193";"14.3";"2019";"5916";"RB"
"340";"40555";"160.7";"2019";"6151";"RB"
"341";"40485";"109.3";"2019";"6130";"RB"
"342";"39541";"-1.3";"2019";"5619";"RB"
"343";"39462";"39.2";"2019";"5122";"RB"
"344";"38329";"14";"2019";"4696";"RB"
"345";"35134";"0.4";"2019";"5890";"RB"
"346";"34761";"0.3";"2019";"5076";"RB"
"347";"34455";"46.4";"2019";"5068";"RB"
"348";"34001";"105.4";"2019";"5052";"RB"
"349";"31615";"17.5";"2019";"5209";"RB"
